datetime,actual_conductivity,do_concentration,turbidity,chl-a_concentration,temperature
2019-02-22 22:30:00,97.66572,8.249134,68.295,59.85226,30.04283
2019-02-22 22:40:00,97.28165,8.456991,40.01331,58.22987,30.03737
2019-02-22 22:50:00,96.8312,7.792179,61.87848,56.91835,30.03324
2019-02-22 23:00:00,96.45347,8.538198,47.76353,58.37328,30.04416
2019-02-22 23:10:00,96.81831,8.211079,71.36079,57.52937,30.07347
2019-02-22 23:20:00,96.61208,8.381048,45.48634,61.37782,30.05058
2019-02-22 23:30:00,97.03519,8.643106,45.55644,60.01482,30.11518
2019-02-22 23:40:00,96.41328,8.541777,43.30206,57.12333,30.16995
2019-02-22 23:50:00,96.54338,7.543892,40.27203,56.29853,30.1116
2019-02-23 00:00:00,96.56081,7.408123,46.53907,57.70562,30.04882
2019-02-23 00:10:00,96.57869,7.066898,46.12148,59.71919,30.07083
2019-02-23 00:20:00,96.70765,7.197773,49.20562,56.49894,30.06953
2019-02-23 00:30:00,96.82481,7.126539,43.36155,51.17709,30.11754
2019-02-23 00:40:00,97.09903,5.99956,30.33768,48.64457,30.10342
2019-02-23 00:50:00,96.77173,5.535332,38.33221,52.14452,29.98304
2019-02-23 01:00:00,96.4725,6.828736,45.55269,53.32645,30.01598
